                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86143,                 5.2011,                 1.3104,                 0.0048,                0.35848,                0.00544,                0.00432,                0.75528,                 5.3915,                  1.284,                0.07008,              0.0033244,              0.0033244
                      2,                 0.9585,                 4.8457,                  1.365,                0.15009,                0.07443,                0.01137,                0.00749,                 1.1022,                  5.362,                 1.6614,               0.040047,              0.0066248,              0.0066248
                      3,                 1.0621,                 4.5162,                 1.4069,                0.41999,                0.04786,                0.02079,                0.01345,                0.99545,                 4.7859,                 1.4965,              0.0099811,              0.0098922,              0.0098922
                      4,                 1.1049,                 4.2893,                 1.4121,                0.46168,                0.05478,                0.02646,                0.01838,                 1.0165,                 4.7369,                 1.4873,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0934,                 4.0879,                 1.3927,                0.39836,                0.10722,                0.03783,                0.02621,                 1.0208,                 4.4443,                 1.4992,               0.009802,               0.009802,               0.009802
                      6,                 1.0494,                 3.8546,                 1.3564,                0.31914,                0.13951,                0.05497,                0.03856,                0.95388,                 3.9972,                 1.4053,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0233,                 3.6647,                 1.3361,                0.26802,                0.14846,                0.07316,                 0.0546,                0.90895,                 3.6986,                 1.3823,               0.009703,               0.009703,               0.009703
                      8,                0.99226,                 3.5149,                 1.3112,                0.27753,                 0.2253,                0.10062,                0.07852,                0.79257,                 3.3385,                 1.2716,              0.0096535,              0.0096535,              0.0096535
                      9,                0.96664,                 3.3342,                 1.2964,                0.25199,                0.23554,                0.10385,                 0.0781,                0.83917,                 3.3237,                 1.3073,               0.009604,               0.009604,               0.009604
                     10,                0.96043,                  3.214,                 1.2941,                0.22277,                0.27156,                0.13152,                0.10228,                0.79273,                 3.0275,                 1.2646,              0.0095545,              0.0095545,              0.0095545
                     11,                 0.9458,                 3.0795,                 1.2812,                0.21598,                0.32258,                0.16399,                0.13002,                0.73385,                 2.7929,                  1.225,               0.009505,               0.009505,               0.009505
                     12,                0.93438,                 3.0016,                 1.2725,                0.24258,                0.32627,                0.17691,                0.13838,                0.77751,                 2.7099,                  1.255,              0.0094555,              0.0094555,              0.0094555
                     13,                0.92532,                 2.8737,                 1.2661,                0.25855,                0.36003,                0.20507,                0.16112,                0.73028,                 2.5371,                 1.2175,               0.009406,               0.009406,               0.009406
                     14,                0.91772,                 2.8085,                 1.2609,                0.24275,                0.37936,                0.22793,                0.17868,                0.74346,                 2.4457,                 1.2213,              0.0093565,              0.0093565,              0.0093565
                     15,                    0.9,                  2.717,                 1.2474,                0.22092,                0.36622,                0.20965,                 0.1674,                0.71504,                 2.4635,                 1.1904,               0.009307,               0.009307,               0.009307
                     16,                0.90154,                 2.6763,                 1.2537,                0.26393,                0.40144,                0.25505,                0.20206,                0.73328,                 2.3117,                 1.2188,              0.0092575,              0.0092575,              0.0092575
                     17,                0.88501,                 2.5924,                 1.2384,                0.25275,                0.40264,                0.25342,                0.20033,                0.75203,                 2.3109,                 1.2383,               0.009208,               0.009208,               0.009208
                     18,                0.87324,                 2.5267,                 1.2328,                0.29955,                0.43747,                0.31249,                0.25309,                0.68127,                 2.0927,                 1.1694,              0.0091585,              0.0091585,              0.0091585
                     19,                0.86039,                 2.4872,                 1.2228,                0.31175,                0.45688,                0.33616,                0.27407,                0.65737,                 2.0401,                 1.1563,               0.009109,               0.009109,               0.009109
                     20,                0.86729,                 2.4337,                 1.2294,                0.29826,                0.42067,                0.31185,                0.25296,                0.67273,                 2.1439,                 1.1621,              0.0090595,              0.0090595,              0.0090595
                     21,                0.85211,                 2.3733,                 1.2173,                 0.2993,                0.46357,                0.33512,                0.27419,                0.66691,                 2.0455,                 1.1552,                0.00901,                0.00901,                0.00901
                     22,                0.85217,                 2.3289,                 1.2202,                0.34739,                0.46446,                0.37684,                0.30692,                0.66118,                 1.9672,                 1.1562,              0.0089605,              0.0089605,              0.0089605
                     23,                0.83753,                 2.2852,                 1.2069,                0.37376,                0.49416,                0.41067,                0.33928,                0.64757,                 1.8517,                 1.1426,               0.008911,               0.008911,               0.008911
                     24,                0.83997,                  2.255,                 1.2169,                0.35317,                0.47311,                0.41382,                0.34074,                0.64388,                 1.8612,                 1.1386,              0.0088615,              0.0088615,              0.0088615
                     25,                0.83192,                 2.2074,                  1.205,                0.38742,                0.49957,                0.44689,                0.36907,                 0.6412,                 1.7787,                 1.1397,               0.008812,               0.008812,               0.008812
                     26,                 0.8315,                 2.1597,                 1.2045,                0.38924,                0.47999,                0.42426,                0.34899,                0.65707,                 1.8335,                 1.1483,              0.0087625,              0.0087625,              0.0087625
                     27,                0.82731,                 2.1556,                 1.2067,                0.40841,                0.51237,                0.46577,                0.38445,                0.64388,                 1.7497,                 1.1304,               0.008713,               0.008713,               0.008713
                     28,                0.81145,                 2.0745,                 1.1882,                0.42094,                0.50866,                 0.4829,                0.39994,                0.62523,                 1.6807,                 1.1191,              0.0086635,              0.0086635,              0.0086635
                     29,                0.82178,                   2.06,                 1.1996,                0.44262,                0.52758,                0.49334,                0.40893,                0.62513,                 1.6511,                 1.1209,               0.008614,               0.008614,               0.008614
                     30,                0.80771,                 2.0245,                 1.1882,                0.44757,                0.54244,                0.51705,                0.42795,                0.62436,                 1.6073,                   1.12,              0.0085645,              0.0085645,              0.0085645
                     31,                0.80999,                  1.996,                 1.1902,                 0.4827,                0.53676,                 0.5261,                0.43927,                0.61819,                 1.5747,                 1.1142,               0.008515,               0.008515,               0.008515
                     32,                 0.8011,                 1.9673,                 1.1861,                0.49318,                 0.5447,                0.53718,                0.44901,                0.60585,                 1.5526,                 1.1059,              0.0084655,              0.0084655,              0.0084655
                     33,                0.78972,                 1.9259,                 1.1808,                0.48006,                0.54838,                0.54267,                0.45505,                0.60388,                 1.5419,                 1.1023,               0.008416,               0.008416,               0.008416
                     34,                0.78703,                 1.9347,                 1.1768,                0.50347,                0.53232,                0.54212,                0.44703,                0.62869,                 1.5508,                 1.1279,              0.0083665,              0.0083665,              0.0083665
                     35,                0.78762,                 1.8732,                 1.1772,                0.51017,                0.58143,                0.57523,                0.48279,                0.59763,                 1.4571,                 1.0973,               0.008317,               0.008317,               0.008317
                     36,                0.78084,                 1.8534,                 1.1698,                0.50676,                0.55414,                0.56308,                0.46642,                0.63206,                 1.5104,                 1.1296,              0.0082675,              0.0082675,              0.0082675
                     37,                0.79119,                 1.8408,                 1.1778,                0.52103,                0.58046,                0.59135,                 0.4957,                0.59668,                 1.4255,                 1.0988,               0.008218,               0.008218,               0.008218
                     38,                0.78274,                 1.7993,                 1.1701,                0.52639,                0.59571,                0.59863,                0.50249,                0.60683,                 1.4022,                  1.101,              0.0081685,              0.0081685,              0.0081685
                     39,                0.77519,                 1.7936,                 1.1693,                0.57521,                0.58873,                0.61068,                0.51255,                0.60405,                 1.3569,                 1.1025,               0.008119,               0.008119,               0.008119
                     40,                0.77252,                 1.7646,                  1.169,                0.56078,                0.59373,                0.61761,                0.51857,                0.59943,                 1.3518,                 1.0985,              0.0080695,              0.0080695,              0.0080695
                     41,                0.76758,                 1.7685,                 1.1663,                0.56959,                0.60597,                0.62998,                0.53072,                0.58736,                 1.3114,                 1.0917,                0.00802,                0.00802,                0.00802
                     42,                0.76063,                 1.7081,                 1.1578,                0.56401,                0.60233,                 0.6266,                0.52707,                0.59494,                 1.3477,                 1.0939,              0.0079705,              0.0079705,              0.0079705
                     43,                0.76426,                 1.6908,                 1.1625,                0.59443,                0.61578,                0.64003,                0.53994,                0.58186,                 1.2806,                 1.0869,               0.007921,               0.007921,               0.007921
                     44,                0.76438,                 1.6802,                 1.1571,                0.57422,                 0.6224,                0.63706,                0.53723,                0.58868,                 1.2991,                 1.0932,              0.0078715,              0.0078715,              0.0078715
                     45,                0.75154,                 1.6546,                 1.1537,                0.60566,                 0.5978,                0.64038,                0.53928,                0.58854,                 1.2932,                 1.0907,               0.007822,               0.007822,               0.007822
                     46,                0.75116,                 1.6484,                 1.1547,                 0.5903,                0.62236,                 0.6522,                0.55173,                0.58383,                 1.2544,                 1.0863,              0.0077725,              0.0077725,              0.0077725
                     47,                0.75422,                 1.6294,                 1.1548,                0.60776,                0.60489,                0.65555,                0.55225,                 0.5896,                  1.265,                 1.0929,               0.007723,               0.007723,               0.007723
                     48,                0.74843,                 1.6004,                  1.151,                0.60703,                0.63772,                0.67366,                0.57079,                0.58066,                 1.2131,                 1.0818,              0.0076735,              0.0076735,              0.0076735
                     49,                0.74434,                 1.5726,                 1.1474,                0.65171,                 0.6319,                0.67956,                0.57523,                0.57706,                 1.1963,                 1.0803,               0.007624,               0.007624,               0.007624
